resp_lat_mean,resp_lat_std,resp_lat_min,resp_lat_max,resp_lat_med,resp_lat_n,resp_lat_cv,overlap_ratio,interrupted_n,stop_delay_mean,stop_delay_std,stop_delay_min,stop_delay_max,stop_delay_med,stop_delay_n,silence_broken_by_caller,gap_mean,gap_std,gap_min,gap_max,gap_med,gap_n,caller_turn_mean,caller_turn_std,caller_turn_min,caller_turn_max,caller_turn_med,caller_turn_n,caller_turns,agent_turns,turn_ratio,dur,caller_turns_per_min,agent_turns_per_min,interrupted_n_per_min,silence_broken_by_caller_per_min,gap_n_per_min,resp_lat_n_per_min,anon_id,y,split
3.504999999999997,2.0943531220880565,0.6200000000000045,8.019999999999982,2.6099999999999994,20.0,0.5975328172768163,0.043340380549682964,3.0,3.480000000000004,2.6619291250269264,0.6400000000000148,7.039999999999992,2.760000000000005,3.0,10.0,2.2588888888888885,1.440994598219839,1.3200000000000074,7.739999999999981,1.800000000000006,18.0,5.0453333333333354,3.9850752676566694,0.47999999999998977,11.840000000000003,4.420000000000002,15.0,15.0,28.0,0.5357142665816333,209.0,4.30622009569378,8.038277511961722,0.8612440191387559,2.8708133971291865,5.167464114832536,5.741626794258373,call_0e101713ee94,1,train
3.6459999999999986,3.227618936615659,0.3799999999999999,9.699999999999989,1.7099999999999997,20.0,0.8852490541323659,0.11936560934891502,3.0,0.9600000000000005,0.9475582655787809,0.10000000000000053,2.280000000000001,0.5,3.0,3.0,1.7916666666666679,0.8287121870039622,1.0799999999999983,3.860000000000001,1.4300000000000033,12.0,1.9966666666666673,1.4721375237690562,0.28000000000000025,4.34,1.0200000000000022,12.0,12.0,27.0,0.44444442798353967,130.0,5.538461538461539,12.461538461538462,1.3846153846153848,1.3846153846153848,5.538461538461539,9.230769230769232,call_0e1e2f29bfdc,0,val
2.7576470588235273,2.5858791414635105,0.0,9.14,1.3599999999999994,17.0,0.9377118059679822,0.14640000000000056,2.0,0.40000000000000213,0.13999999999999702,0.2600000000000051,0.5399999999999991,0.40000000000000213,2.0,8.0,1.7505263157894733,0.6903963292289017,1.019999999999996,3.1200000000000045,1.5,19.0,1.5625000000000018,1.2742031823849764,0.28000000000000114,3.8800000000000026,0.8600000000000065,16.0,16.0,19.0,0.8421052188365674,136.0,7.0588235294117645,8.382352941176471,0.8823529411764706,3.5294117647058822,8.382352941176471,7.5,call_10aa0d1d33f0,0,val
5.438461538461538,2.680498937924247,2.719999999999999,9.980000000000004,3.7199999999999953,13.0,0.4928780733465384,0.005882352941176444,1.0,0.21999999999999886,0.0,0.21999999999999886,0.21999999999999886,0.21999999999999886,1.0,8.0,2.8146666666666667,0.7780476991947347,1.3000000000000043,3.799999999999997,2.9200000000000017,15.0,4.155555555555553,2.7007287539605227,0.519999999999996,9.400000000000006,3.9200000000000017,9.0,9.0,18.0,0.49999997222222375,161.0,3.3540372670807455,6.708074534161491,0.3726708074534162,2.9813664596273295,5.590062111801243,4.844720496894411,call_10ceaf16fbbf,1,train
2.467272727272728,1.7949681734787541,1.019999999999996,6.640000000000001,1.7000000000000028,11.0,0.7275107555507729,0.08708938120702864,1.0,0.9200000000000017,0.0,0.9200000000000017,0.9200000000000017,0.9200000000000017,1.0,7.0,1.9093333333333329,1.3491106535623965,1.019999999999996,6.34,1.480000000000004,15.0,2.0138461538461545,1.8430139966142343,0.2200000000000002,6.479999999999997,1.5,13.0,13.0,17.0,0.7647058373702448,123.0,6.341463414634147,8.292682926829269,0.48780487804878053,3.414634146341464,7.317073170731708,5.365853658536586,call_11d3230256a1,0,train
2.6552941176470606,1.7668520283162916,0.2600000000000051,7.34,2.0799999999999983,17.0,0.6654070263504096,0.06638846737481019,1.0,1.5200000000000014,0.0,1.5200000000000014,1.5200000000000014,1.5200000000000014,1.0,8.0,1.6858823529411764,0.44546154285097356,1.0999999999999943,2.520000000000003,1.4800000000000004,17.0,3.295,3.4310967634271123,0.3400000000000034,13.840000000000003,2.1500000000000004,16.0,16.0,24.0,0.66666663888889,157.0,6.114649681528662,9.171974522292993,0.38216560509554137,3.057324840764331,6.496815286624204,6.496815286624204,call_120d6007bcc1,1,val
1.6410526315789473,1.3538634570693637,0.14000000000000057,5.54,1.1600000000000001,19.0,0.8249964723984906,0.4682451253481896,8.0,1.9050000000000005,2.021379479464457,0.259999999999998,6.359999999999999,1.049999999999999,8.0,10.0,1.9399999999999986,0.7231873892705805,1.1199999999999974,3.6199999999999903,1.7799999999999976,16.0,1.595555555555555,1.6201612478811496,0.2400000000000002,6.740000000000009,0.8400000000000034,45.0,45.0,22.0,2.0454544524793428,131.0,20.610687022900766,10.076335877862597,3.6641221374045805,4.580152671755726,7.328244274809161,8.70229007633588,call_1612f093f8b5,0,train
2.0085714285714276,2.248310022924701,0.03999999999999915,8.36,1.009999999999998,14.0,1.119357206612551,0.11139401654996813,2.0,0.40000000000000013,0.24000000000000044,0.1599999999999997,0.6400000000000006,0.40000000000000013,2.0,5.0,2.2446153846153822,1.0519185065292358,1.1999999999999957,5.059999999999999,1.8799999999999955,13.0,2.0946666666666673,2.173015927742413,0.38000000000000966,8.68,1.240000000000009,15.0,15.0,14.0,1.0714284948979647,102.0,8.823529411764707,8.23529411764706,1.1764705882352942,2.9411764705882355,7.647058823529412,8.23529411764706,call_16581bcbc272,0,train
3.205000000000002,2.677674675285753,0.5600000000000023,8.460000000000008,2.0500000000000043,12.0,0.8354676567295147,0.3655933107987899,12.0,6.691666666666666,7.050742080723767,0.0799999999999983,25.120000000000005,5.309999999999995,12.0,13.0,3.754117647058822,2.3594292899755387,1.1599999999999966,8.240000000000009,2.859999999999985,17.0,3.122777777777778,6.891083051109161,0.20000000000000284,40.08,0.8900000000000006,36.0,36.0,17.0,2.1176469342560624,164.0,13.170731707317072,6.219512195121951,4.390243902439025,4.7560975609756095,6.219512195121951,4.390243902439025,call_1761edbd6952,0,train
3.7837500000000017,2.15575066682119,0.0,8.340000000000003,3.1299999999999955,16.0,0.5697390411845782,0.04970178926441373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.825,2.053174371552499,1.2800000000000011,10.219999999999999,2.5199999999999996,16.0,1.8862500000000009,1.603585338390197,0.259999999999998,5.960000000000001,1.4100000000000072,16.0,16.0,18.0,0.8888888395061756,142.0,6.76056338028169,7.605633802816901,0.0,3.380281690140845,6.76056338028169,6.76056338028169,call_181a5049ecae,1,val
2.644210526315788,2.0817156785221624,0.6000000000000014,7.480000000000004,1.7799999999999998,19.0,0.7872727494772863,0.14493712772998033,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.5377777777777792,0.6312206477713164,1.039999999999992,3.200000000000003,1.3400000000000034,18.0,1.6788888888888884,1.6397760310782594,0.26000000000000156,6.680000000000007,1.2899999999999991,18.0,18.0,23.0,0.7826086616257103,135.0,8.0,10.222222222222221,0.4444444444444444,3.111111111111111,8.0,8.444444444444445,call_185e958a253b,0,val
4.105333333333333,2.392538029420268,1.7600000000000016,9.299999999999997,2.980000000000004,15.0,0.5827876209725512,0.11393939393939415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.110666666666667,0.7220292391740257,1.4399999999999995,4.219999999999999,1.9599999999999973,15.0,1.4999999999999993,1.3664818795991147,0.3199999999999932,4.1800000000000015,0.7600000000000051,11.0,11.0,20.0,0.5499999725000013,117.0,5.641025641025641,10.256410256410257,0.0,2.5641025641025643,7.6923076923076925,7.6923076923076925,call_186e9d6ee732,1,train
2.6344444444444415,1.7865771812858646,0.12000000000000455,7.019999999999982,2.0500000000000007,18.0,0.6781606296131224,0.09988584474885831,3.0,0.2666666666666657,0.07363574011458424,0.1799999999999926,0.35999999999999943,0.2600000000000051,3.0,18.0,2.4446153846153837,2.0295380883518823,1.079999999999984,10.02000000000001,1.7399999999999949,26.0,1.7520000000000002,2.090343512440001,0.23999999999999488,9.62,0.539999999999992,40.0,40.0,18.0,2.222222098765439,196.0,12.244897959183673,5.510204081632653,0.9183673469387755,5.510204081632653,7.959183673469388,5.510204081632653,call_189410107163,1,train
3.5184615384615365,1.3178411609309333,1.96,6.3,3.0600000000000023,13.0,0.3745502890893831,0.05596382136800434,2.0,2.5799999999999983,1.5799999999999983,1.0,4.159999999999997,2.5799999999999983,2.0,8.0,2.4325,0.9596320909598632,1.2800000000000011,4.780000000000001,2.3399999999999963,16.0,2.948333333333333,2.0540927978604633,0.2599999999999909,5.859999999999999,2.960000000000001,12.0,12.0,16.0,0.7499999531250029,141.0,5.106382978723404,6.808510638297872,0.851063829787234,3.404255319148936,6.808510638297872,5.531914893617021,call_18bd3c505fd5,1,train
3.130000000000001,2.518299690929047,0.8399999999999892,9.079999999999998,1.7899999999999991,18.0,0.804568334300547,0.05984555984556011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.7986666666666653,0.908873784172233,1.0200000000000102,4.060000000000002,1.539999999999992,15.0,2.825454545454547,2.469686633181566,0.35999999999999943,6.719999999999999,1.0600000000000023,11.0,11.0,21.0,0.5238094988662143,128.0,5.15625,9.84375,0.0,2.34375,7.03125,8.4375,call_198ef413fe4a,0,val
3.567272727272726,1.7700389872906552,2.259999999999998,8.22,2.759999999999998,11.0,0.4961881600949911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.2257142857142855,0.7342412437895538,1.1600000000000037,3.8200000000000003,2.3899999999999935,14.0,3.8400000000000003,3.0120941404795287,0.5,10.139999999999999,2.960000000000008,9.0,9.0,12.0,0.7499999375000053,140.0,3.8571428571428568,5.142857142857142,0.0,3.4285714285714284,6.0,4.714285714285714,call_1a2f3635b411,1,train
